1149,899
125,1923
1981,67
957,1091
1469,579
445,1603
1725,323
701,1347
1213,835
189,1859
1853,195
829,1219
1341,707
317,1731
1597,451
573,1475
1085,963
61,1987
2013,35
989,1059
1501,547
477,1571
1757,291
733,1315
1245,803
221,1827
1885,163
861,1187
1373,675
349,1699
1629,419
605,1443
1117,931
93,1955
1949,99
925,1123
1437,611
413,1635
1693,355
669,1379
1181,867
157,1891
1821,227
797,1251
1309,739
285,1763
1565,483
541,1507
1053,995
29,2019
2029,19
1005,1043
1517,531
493,1555
1773,275
749,1299
1261,787
237,1811
1901,147
877,1171
1389,659
365,1683
1645,403
621,1427
1133,915
109,1939
1965,83
941,1107
1453,595
429,1619
1709,339
685,1363
1197,851
173,1875
1837,211
813,1235
1325,723
301,1747
1581,467
557,1491
1069,979
45,2003
1997,51
973,1075
1485,563
461,1587
1741,307
717,1331
1229,819
205,1843
1869,179
845,1203
1357,691
333,1715
1613,435
589,1459
1101,947
77,1971
1933,115
909,1139
1421,627
397,1651
1677,371
653,1395
1165,883
141,1907
1805,243
781,1267
1293,755
269,1779
1549,499
525,1523
1037,1011
13,2035
2037,11
1013,1035
1525,523
501,1547
1781,267
757,1291
1269,779
245,1803
1909,139
885,1163
1397,651
373,1675
1653,395
629,1419
1141,907
117,1931
1973,75
949,1099
1461,587
437,1611
1717,331
693,1355
1205,843
181,1867
1845,203
821,1227
1333,715
309,1739
1589,459
565,1483
1077,971
53,1995
2005,43
981,1067
1493,555
469,1579
1749,299
725,1323
1237,811
213,1835
1877,171
853,1195
1365,683
341,1707
1621,427
597,1451
1109,939
85,1963
1941,107
917,1131
1429,619
405,1643
1685,363
661,1387
1173,875
149,1899
1813,235
789,1259
1301,747
277,1771
1557,491
533,1515
1045,1003
21,2027
2021,27
997,1051
1509,539
485,1563
1765,283
741,1307
1253,795
229,1819
1893,155
869,1179
1381,667
357,1691
1637,411
613,1435
1125,923
101,1947
1957,91
933,1115
1445,603
421,1627
1701,347
677,1371
1189,859
165,1883
1829,219
805,1243
1317,731
293,1755
1573,475
549,1499
1061,987
37,2011
1989,59
965,1083
1477,571
453,1595
1733,315
709,1339
1221,827
197,1851
1861,187
837,1211
1349,699
325,1723
1605,443
581,1467
1093,955
69,1979
1925,123
901,1147
1413,635
389,1659
1669,379
645,1403
1157,891
133,1915
1797,251
773,1275
1285,763
261,1787
1541,507
517,1531
1029,1019
5,2043
2041,7
1017,1031
1529,519
505,1543
1785,263
761,1287
1273,775
249,1799
1913,135
889,1159
1401,647
377,1671
1657,391
633,1415
1145,903
121,1927
1977,71
953,1095
1465,583
441,1607
1721,327
697,1351
1209,839
185,1863
1849,199
825,1223
1337,711
313,1735
1593,455
569,1479
1081,967
57,1991
2009,39
985,1063
1497,551
473,1575
1753,295
729,1319
1241,807
217,1831
1881,167
857,1191
1369,679
345,1703
1625,423
601,1447
1113,935
89,1959
1945,103
921,1127
1433,615
409,1639
1689,359
665,1383
1177,871
153,1895
1817,231
793,1255
1305,743
281,1767
1561,487
537,1511
1049,999
25,2023
2025,23
1001,1047
1513,535
489,1559
1769,279
745,1303
1257,791
233,1815
1897,151
873,1175
1385,663
361,1687
1641,407
617,1431
1129,919
105,1943
1961,87
937,1111
1449,599
425,1623
1705,343
681,1367
1193,855
169,1879
1833,215
809,1239
1321,727
297,1751
1577,471
553,1495
1065,983
41,2007
1993,55
969,1079
1481,567
457,1591
1737,311
713,1335
1225,823
201,1847
1865,183
841,1207
1353,695
329,1719
1609,439
585,1463
1097,951
73,1975
1929,119
905,1143
1417,631
393,1655
1673,375
649,1399
1161,887
137,1911
1801,247
777,1271
1289,759
265,1783
1545,503
521,1527
1033,1015
9,2039
2033,15
1009,1039
1521,527
497,1551
1777,271
753,1295
1265,783
241,1807
1905,143
881,1167
1393,655
369,1679
1649,399
625,1423
1137,911
113,1935
1969,79
945,1103
1457,591
433,1615
1713,335
689,1359
1201,847
177,1871
1841,207
817,1231
1329,719
305,1743
1585,463
561,1487
1073,975
49,1999
2001,47
977,1071
1489,559
465,1583
1745,303
721,1327
1233,815
209,1839
1873,175
849,1199
1361,687
337,1711
1617,431
593,1455
1105,943
81,1967
1937,111
913,1135
1425,623
401,1647
1681,367
657,1391
1169,879
